,Unnamed: 0,Newspaper,Date,Reviewer,Title,Theatre,Review
81,81,Ought To Be Clowns,04/07/2013,Ian,Bracken Moor, Tricycle,"With a revival of The Pride just announced as the next production in Jamie Lloyd’s Trafalgar Studios residency, it seemed like a good time to visit Alexi Kaye Campbell’s latest play Bracken Moor at the Tricycle. That said, I have to admit to not being the greatest fan of this ambitious mash-up of political/economic drama and ghost story which is co-produced by Shared Experience and directed by their own Polly Teale. In the midst of the 1930s financial crisis, Yorkshire landowner Harold and his wife Elizabeth are still shell-shocked by the ghastly death of their young son Edgar ten years since and only now are they acquiescing to an extended visit from their old friends Vanessa and Geoffrey. But as they retrace their old friendship, the presence of the visitors’ son Terence awakens something more sinister. Terence was Edgar’s boyhood best friend and within a few nights, appears to become possessed by Edgar’s restless spirit. This provokes his parents to finally start to deal with their buttoned-up grief but in hugely different ways. Helen Schlesinger’s extraordinarily affecting Elizabeth clings to every possible shred of hope that she could actually be communicating with her lost son and the rawness of her grief is spell-binding. And the much more pragmatic Harold, Antony Byrne in classically old-school English mode, finds himself questioning the decisions he has to make about a dispute over pit closures, his capitalist certainties challenged by this brush with the unknown. But it is all very dry stuff. The aforementioned debate about the pit closures versus plans to try and save jobs opens the play with an almost stagnant pace and the wood-panelled, staircase-dominated set designed by Tom Piper just feels too cavernous, leaving the actors marooned and sapping the energy from many a scene. The supernatural scenes, once they come, will undoubtedly make you jump but that is because of the loud noises rather than any sense of the genuinely chilling and given the arid nature of so much of the writing, it is hard to feel any real sense of engagement with these characters or their plight."
82,82,Ought To Be Clowns,23/04/2019,Ian,All My Sons, Old Vic,"You do wonder how new playwrights are ever going to get a look-in when Arthur Miller can dominate London theatres without it even being a significant anniversary year for him. That said, the Old Vic’s second Miller in a row sees a Headlong co-production of All My Sons (with Death of a Salesman imminent at the Young Vic, he’ll have the run of The Cut) that gives an enviable target to aim for. I’ve seen a handful of All My Sons since starting the blog, from the sublime and superb to the somewhat less impressive, and it is remarkable how it stands as a play that really needs little doing to it for its quality to shine through. And so it is with Jeremy Herrin’s production here, a relatively straightforward one for Headlong all told, but all the more effective for it.  Max Jones’ design gives us the Kellers’ humble home simply, their backyard spread out over the stage and so it is the beauty of Richard Howell’s lighting that really stands out. Dappled sunlight turns to a tender dusk but as the weight of the play’s tragedy starts to assert itself, shadows start to lengthen and the move into punishing darkness characterises the severity of this long night. And free from distractions, superlative unaffected acting fills the gap in this dissection of a shattered American Dream. Sally Field is everything you’d hope for and more as matriarch Kate and Bill Pullman is excellent as the haunted Joe. Both made old too soon by the lies they’ve internalised, both unable to escape the hollowness of their picture-perfect lives and the grief they long to hide. "
83,83,Ought To Be Clowns,27/06/2014,mag9l,Khandan (Family), Royal Court,"The second Birmingham Rep show to make its bow in London this month (Rachel De-lahay’s Circles being the first), Gurpreet Kaur Bhatti’s Khandan (Family) transferred for a short run at the Royal Court upstairs. Bhatti explores the dynamics of a first-generation Sikh family and their various complex ties to the notion of ‘home’, whether the Punjab to which matriarch Jeeto longs to return after emigrating to Birmingham in 1969 or the England in which her children were born. Roxana Silbert’s production has much to appreciate in it but not really enough to engage and truly enjoy. The play skates over the domestic travails of all concerned but without ever really digging deep into the characters, they remain little more than ciphers. Rez Kempton’s ambitious Pal clearly loves his wife Liz yet her pain at their childlessness, something which Lauren Crace evokes beautifully, is something he brutally ignores. Oddities like these are scattered throughout, driving the plot at the expense of character credibility."
84,84,Ought To Be Clowns,18/08/2013,Ian,Liolà, National Theatre,"Expectations are a funny thing. Luigi Pirandello’s reputation as one of our foremost dramatists comes from his metaphysical musings on identity and self but his 1916 play Liolà comes from a very different place and so may leave you nonplussed if expecting something akin to Six Characters in Search of an Author. Instead, Tanya Ronder’s new version directed by Richard Eyre is a rollicking tale full of song and dance, set in a Sicilian village from which most of the men have migrated. The two that remain, Liolà and Simone, are surrounded by a veritable multitude of women with whom a number of complicated relationships are in place. Ageing landowner Simone married the much younger Mita in order to provide him with the heir he desperately craves but five years of marriage have produced no children. By contrast, local lothario Liolà has knocked up at least three of the local girls and now has three children who are raised by his mother. But when he gets Simone’s young cousin Tuzza pregnant, she and her mother espy a scheme to play on Simone’s fears of childlessness and pass the child off as his own. But Mita and Liolà were childhood sweethearts and together they plot her own revenge.  Everything is done under the watchful view of the community but even though the location is Pirandello’s native Sicily, Eyre has made the characters all Irish and the frequent musical interludes contains elements of folk and gypsy tunes that feel closer to the Balkans. Where some might find confusion in this melding of styles, I found it liberated the piece, finding echoes in plays such as Friel’s Dancing at Lughnasa and Lorca’s Bernard Alba, (mostly) Catholic communities simultaneously finding ways to break the rules that bind their society yet casting the ultimate scorn on those who are caught.  And it is powerfully, persuasively done. The likes of Rosaleen Linehan as Mita’s aunt Gesa, Charlotte Bradley as Liolà’s mother Ninfa and Eileen Walsh’s spinster of the parish Càrmina fill the air with fruity gossip and tuneful song as they sit shelling almonds and pass comment on all that goes before them, especially the intransigent Azzaras – a near-hysterical Aisling O’Sullivan and a taciturn Jessica Regan as the mother and daughter who dare to look out for themselves. Rory Keenan is outrageously charming as the titular Liolà, wittily possessed of his own accompanying band but also possessed of an underlying sadness at his roguish destiny. Lisa Dwyer Hogg’s Mita is affecting as the much-maligned Mita but as she engineers the situation to her advantage, the sly satisfaction at the downfall of her rival suggests the beginnings of lifelong feuds rather than happy endings."
85,85,Ought To Be Clowns,,Ian,Lucy Light, VAULT Festival,"Is it wrong to like Atomic Kitten’s cover of ‘The Tide is High’? I suspect the answer would be a resounding yes for most people but for Lucy and Jess, two teenage girls from a northern seaside town, (and let’s face it, me), they’ve even got the dance routine from the video down pat, complete with brilliantly improvised wind machine. They’ve just finished their GCSEs and life ought to be hunky dory but Lucy’s mum has got breast cancer, casting a shadow not only over this summer but over the next ten years as we see in Lucy Light. For the genetics of the c word, particularly when BRCA 1 is concerned, is a bastard but Lucy is prepared to make some tough decisions. Sarah Milton’s play visits this pair of best friends at 15, 22 and 26, a crucial decade for both, as though the ramifications of Lucy’s choice to undergo a pre-emptive mastectomy is eloquently woven throughout every scene, the play is much as about the minutiae of ‘normal’ life too. The endless hangovers, being stuck in dead-end jobs, growing up in the same place as your high-school crushes and above all, the intensity of those friends and family bonds that get you through the worst of times. And Emmy Rose and Amy Clark both give beautifully pitched performances as they show all the messy complexities of the journey from teenage angst to young adulthood."
86,86,Ought To Be Clowns,24/05/2017,Ian,Sasha Regan’s All Male Mikado, Richmond,"If it ain’t broke, why fix it? Sasha Regan alighted on a winning formula with her stripped-back all-male takes on Gilbert and Sullivan’s operettas and has toured the likes of The Pirates of Penzance and HMS Pinafore the length and breadth of the country and even to Australia. So it is little surprise to see her turn to The Mikado (or The Town of Titipu) to see if lightning can strike again with joyous shout and ringing cheer. The production is set in the grounds of a 1950s-ish school camping trip, a canny move which neatly sidesteps some of the Orientalism issues and refocuses G+S’s satire on the English political establishment. And with the score for solo piano confidently played by musical director Richard Baker, the harmonious meld of the 16-strong company sounds like a dream, and don’t look half bad either delivering Holly Hughes’ effervescent choreography. There’s more opportunity for the boys playing ladies to cut loose and have some fun and so it is the likes of Richard Russell Edwards as Peep-Bo (superlative comic timing) and Alex Weatherhill as Katisha (also very funny indeed) who steal scenes unashamedly. And Regan ensures that there’s a great deal of humour in the lightness of touch with which the whole show is played – the ‘beauty’ scene, the little chalkboard, the washing lines, the little details really have been thought about."
87,87,Ought To Be Clowns,17/12/2011,Ian,Joking Apart, Union Theatre,"The next all-male Gilbert and Sullivan production at the Union (Patience) appears to be taking place early next year rather than taking the pre-festive slot that one has become accustomed to over the last couple of years, and instead we’re being treated to a bit of Alan Ayckbourn with his 21st comedy Joking Apart. Despite his reputation, I’ve never really connected with Ayckbourn in my limited experience of his work, the revival of Snake in the Grass being a notable exception, and not even a truly stellar cast could rescue Season’s Greetings for me at the National. But the Union have a strong track record in creating effective small-scale productions and so I was intrigued to see how this would go. Spread over 12 years, Joking Apart visits blissfully happy couple Richard and Anthea in their back garden at four-yearly intervals, following their relationship with the friends and neighbours around them and how those connections alter over time. From Bonfire Night in 1970 to a balmy summer Friday evening in 1982, with a Boxing Day and a random Sunday morning inbetween, we see how they interact with the earnest vicar and his highly strung wife, Richard’s Scandinavian business partner and wife, and his junior colleague Brian with his succession of young girlfriends. It actually emerges as quite a dark story. Though the central couple are (rich and) happy, that happiness is starkly contrasted with the various dissatisfactions of the lives of those around them, indeed caused by them. There is humour in here, much of it deriving from Kingsley Hall’s costumes which include some outrageously short shorts and sharp shoulder pads and the amusing array of women that Brian dates, all impressively played by Antonia Reid, and the clever use by director Ben de Wynter of the off-stage-left area as the tennis court from which we hear all sorts of antics. Ayckbourn is more concerned though with the excruciating awkwardness that comes from the deterioration in these friendships, as ambitions are frustrated, jealousies pervade and passions stifled. The flashpoints that come, in Andrew Obeney’s bitter explosion as the envious workmate or Jamie Richards’ desperate declaration of love for the woman next door, are expertly done in fabulously cringe-inducing detail, especially in the face of Jamie Kenna and Claire Marlowe as the obliviously unaware central couple, full of chirpy breeziness. But to my mind, there is too much focus on the awkwardness which isn’t sufficiently contrasted with something else to underline its effect. I didn’t really find the play to be as funny as I wanted it to be; and at times, the production loses its clarity. Without the programme, I don’t think I’d’ve clocked we’d skipped four years as Scene Two started and there was little attempt to convince that it was Boxing Day in the third scene, one character even decided to take his coat off despite being outside – small things, but ones that stuck out for me. By and large though, this is a very accomplished production, it’s just a shame I didn’t think the play was particularly deserving of it."
88,88,Ought To Be Clowns,20/02/2011,Ian,Snake in the Grass, The Print Room,"Snake in the Grass is the London premiere of this Alan Ayckbourn play which is a rarity in itself as it marks one of his forays away from his more usual comedy. It is described by Ayckbourn himself as ‘a ghost play’, but it is more obviously a psychological thriller, threaded through with recognisable hints of class struggles and flashes of mordant humour. Directed by Lucy Bailey, who with Anda Winters have converted this Notting Hill warehouse into one of London’s newest new fringe venues, The Print Room. Set in the grounds of a large country house, the play follows two sisters who are reunited after 20 years following the death of their authoritarian father. Annabel escaped her father’s clutches to Tasmania only to find new devils there, whilst Miriam stayed to care for their father but was driven to extreme measures. Finding themselves back together and then visited by a vindictive former nurse of their father’s who was dismissed, they find themselves having to deal both with the haunting ghosts of the past and the psychological threats of the present. Susan Wooldridge as the older Annabel and Sarah Woodward as Miriam were both excellent at portraying the fractious relationship between the estranged siblings, forced together by circumstance and having to deal with the blackmailing demands from Mossie Smith’s abrasive Alice and whilst all three women delivered strong performances, Woodward was particularly outstanding at charting the multiplities of Miriam’s psyche. Staged in traverse, with the audience sat either side of William Dudley’s effectively designed overgrown and disused tennis court, all aspects of this production slotted together extremely well with Richard Howell’s eerie lighting and Neil Alexander’s sinister sounds ratcheting up the tension as the plot wound its way to its twisty conclusion. So something of a pleasant surprise as an atypical Ayckbourn and an unmissable opportunity to see acting talent as superb as Sarah Woodward up close and personal."
89,89,Ought To Be Clowns,27/10/2016,mag9l,The Intelligent Homosexual’s Guide to Capitalism and Socialism with a Key to the Scriptures, Hampstead,"Tony Kushner’s The Intelligent Homosexual’s Guide to Capitalism and Socialism with a Key to the Scriptures has been given the moniker #iHo for short, though quite why that impulse has kicked in now is not clear, for the play is a hard-going three and a half hours full of wordily complex pontifications. The mechanics of social media aside, to suggest that it can be encapsulated in a three letter hashtag feels crudely reductive. The play centres on the Marcantonio family, a brood of Italian-Americans summoned back to their Brooklyn brownstone by patriarch Gus who has decided to commit suicide. He says it is because of encroaching Alzheimer’s but it is his ideals that this former Communist has lost rather than his marbles, and it is this crisis that sparks off lengthy debate after lengthy debate about faith and politics, socialism and America with his three adult children and their motley collection of partners. And when I say lengthy I mean it, the verbosity of the title is a powerful indicator as to the nature of the vast majority of the dialogue in the play and it is tough, tough going. For example, Kushner and director Michael Boyd offer up a scene of near-transcendent symphonic clamour as everyone pitches in to an overlapping shouted argument but ultimately it is hollow, for it is dramatically inert. So naturally it happens again and again, Wikipedia entries regurgitated and reinterpreted as white noise. In some ways that’s unfair, the intellectual depth of Kushner’s writing is presumably kosher (I’m not going to pretend to I picked up half the references and allusions here). But in loading up his characters with such heavyweight intelligence, he’s neglected to give them corresponding heart – there’s far too little sense of them as real people, related people at that. And so by the time the storm quietens down for a moving pair of final scenes, it’s almost too little too late."
90,90,Ought To Be Clowns,06/10/2012,Ian,A Winter’s Tale, Unicorn,"The family-centric Unicorn Theatre invites us into a world of make-believe with this production of Ignace Cornelissen’s A Winter’s Tale. Four actors are putting on a playful performance of The Winter’s Tale but we see them slipping in and out of their roles as they squabble about who gets the best parts, take time out for sandwiches and get lost in the personas they are playing, whilst giving us a condensed version of Shakespeare’s tale of a king whose jealousies of his wife and best friend has far-reaching consequences. With crocodiles. And playful is the word. The company of four relish the freedom they’re granted here: Ben Caplan’s King Freddy (Leontes) is an amusingly disgruntled figure who is the self-appointed leader of the group and Sam Swann’s King Tunde (Polixenes) an appealingly chilled-out presence whose easy friendship with Ginny Holder’s Queen Tamara (Hermione) provokes Freddy’s ire. Flemish Cornelissen doesn’t back away from the darkness of the story in Bohemia either, though he tempers the sadder moments with quick comic cuts – Holder bearing the brunt of the funniest one – always reminding the audience that this is just a tale we’re watching. The actors switch between roles effortlessly as we move to Sicily – which gives Kae Alexander the later chance at a bigger part after she is sulkily relegated to the initial role of gamekeeper – and the clear use of props by director Purni Morell ensures a lack of confusion. There is a slight sense of unevenness from the writing though. Cornelissen mostly drops the device of slipping out of character for the latter half of the play, preferring to just run through the lighter vibe of Sicily, all bubble-machines, hula-hoops and random peg-involving party games. But he redeems himself with a powerfully unexpected ending which works beautifully in terms of this piece of writing and the ambience it has created, but also tear-jerkingly so in an entirely different way for those who know Shakespeare’s play. This performance was one of the Unicorn’s relaxed performances, for those who benefit from a more relaxed atmosphere with regards to making noise, a vitally important innovation from a theatre that is determined to ensure its provision is accessible to the widest range of children possible. There was something fascinating in witnessing the power of theatre in this way, seeing what was proving most effective in grabbing and keeping their attention and the actors – Swann in particular – should be commended for their sensitivity in incorporating these reactions into the show."
91,91,Ought To Be Clowns,07/10/2010,Ian,Jersey Boys, Prince Edward,"So part two of my West End Groupon deal and an interesting one for me as it was a long-running show that I can honestly say I would never have gotten round to going to see on my own behalf: Jersey Boys. The story of four guys, Frankie Castelluchio, Tommy DeVito, Nick Massi and Bob Gaudio who rose from their humble New Jersey beginnings to rise to the top of the charts as Frankie Valli and the Four Seasons. Things did not get off to a good start with a rap version of ‘Oh! What A Night’ and being exhorted to clap along: it is just too early in the night to start with that business and it is not like it is the type of show where there is lots of audience participation so I found it an odd way to start. We then slid into the regular run of things with the story of how the group came together and then found success, being narrated in four quarters, or seasons (see it’s clever!) by each of the band members. The music, much of which was unfamiliar to me I have to admit, as by the band in their various performances and tours which I really liked, but then oddly, random songs became story devices. So, ‘Oh! What A Night’ became a tale of the group visiting a brothel and having his innocence plucked from him though with a premature ending (‘As I recall it ended much too soon’…!). It was a bizarre moment and one that didn’t work for me and I was glad to see the majority of the rest of the music being performance-based. There were quite a few aspects of the production that I didn’t get: I wasn’t a fan of the cartoon graphic screens that popped up every so often and thought they added little, though I did generally like the set and its surprising simplicity. But I have no idea in heaven why a man on a moving drum kit kept randomly appearing, sliding and spinning across the stage, weird weird weird. And as the pace of the show is just so relentless, it just races through huge amounts of story without stopping to really convince us of the relationships behind the scenes which would give the show some much needed heart. And it also paid little attention to demonstrating the passage of time, I had no idea we’d covered over 10 years at one point! Ironically, having bemoaned the use of songs as narrative rather than performance devices, the one time I was truly moved was during ‘My Eyes Adore You’, sung by Valli to his bitterly disappointed wife and beautifully harmonised. It was one of the few times where true emotion was displayed on the stage and allowed to play out for more than 30 seconds. There’s no doubting that it is well performed: I liked all four main guys but I think Stephen Ashfield edged it in his narration section with his geekily charming demeanour as songwriter Gaudio, though Jon Boydon’s Jersey drawl was great fun. As Frankie, Ryan Molloy is good but rarely gets the chance to show the heart and soul behind his character and so it ultimately felt a bit too shiny for my liking. I wasn’t a fan of Simon Adkins’ rather effeminate record producer allowing for a depressingly predictable audience reaction laughing at yet another mincing unsophisticated portrayal of a gay man."
92,92,Ought To Be Clowns,02/10/2019,Ian,A Partnership, Theatre503,"Playing out over an hour of real time, Rory Thomas-Howes’ two-hander A Partnership takes an incisive look at modern gay relationships and asks big questions about what they could and should like, now that so many battles over equality have been won. Now that the gays can have a ‘normal’ life, what might that look like? For Zach, it means breakfast islands, posh toastie makers and a Nutribullet. For Ally, it means being able to hold his boyfriend’s hand in the pub on a work do, maybe even give him a kiss. And as the pair of them return to their new flat to wait out the hour before Ally’s 30th birthday starts, the faultlines in their five-year relationship begin to buckle.  And between the bottles of birthday gin and lines of coke, it soon becomes apparent that problems are running deep here. Thomas-Howes brings layers of sensitivity to Zach, a man buried under so much internalised homophobia that he can barely breathe, just lash out with the grandest of gestures to try and maintain the status quo. Ben Hadfield’s Ally makes for an intriguing partner to him, far more gregarious in nature and initially the more obvious target for our sympathies. But as we dig deeper into the issues here, culpability lies all around and the focus shifts to an almost Albee-like torrent of built up resentments and hostilities that cut increasingly deep. Director Josh Tucker keeps a firm grip on the many conversational swerves, both sides of the tragi-comic coin are fully explored here, and they do occasionally get a little dizzying. You wonder how Ally and Zach have managed to get this far but then that’s kinda the point, the extent to which we are willing to lie to ourselves in order not to rock the boat."
93,93,Ought To Be Clowns,08/06/2017,Ian,Cover My Tracks, Old Vic,"Former Noah and the Whale front-man and songwriter Charlie Fink is no stranger to the Old Vic, having composed the rather lovely score for The Lorax, but his return takes a rather unconventional form in the shape of Cover My Tracks. It occupies that strange place of ‘play with songs’, or ‘live gig and modern folk tale’, or ‘night of live music and theatre’, anything but call it a musical apparently – that probably wouldn’t fit with the brand that the Old Vic are trying to establish with their Lates programme. In the end, it doesn’t really matter what you call it, as the combination here is subtly beguiling. Reuniting with Lorax scribe David Greig, Fink plays Frank, a depressive young songwriter who has split with his band due to ‘artistic differences’ of a sort and Jade Anouka takes the role of Sarah, the hotel worker who intervenes in his life at a crucial moment, seemingly setting it on a new path. Frank though, is determined to find a uniquely 21st century route into rockstar immortality which involves disappearing completely. The story is recounted by Sarah, in a gorgeously positioned performance from Jade Anouka, wry and wistful, heartfelt and heartbreaking, and soundtracked by Frank’s melancholy songs, played live by Fink on guitar with additional backing. Fink also gets to play Frank in flashback, rather amusingly as they embark on an unlikely musical odyssey together. Max Webster’s direction is quietly effective, relying on Lee Curran’s sculptured lighting design for real impact, and preventing it from ever seeming too static."
94,94,Ought To Be Clowns,12/04/2011,Ian,Moonlight, Donmar Warehouse,
95,95,Ought To Be Clowns,01/06/2018,Ian,3Women, Trafalgar Studios 2,"I do love me a bit of Anita Dobson so I was pleased to see her name appear in the cast for 3Women, a new play by Katy Brand playing at the Trafalgar Studios 2. An intergenerational take on women’s experience over the last 60 years or so, it promises a lot but doesn’t quite carry through. Set in a hotel suite on the eve of a wedding, Debbie Chazen’s Suzanne has cracked open the booze and settled in for the night with her mother, Anita Dobson’s gin-soaked Eleanor and her daughter, Maisie Richardson-Sellers’ gender-fluid Laurie. They have a lot to talk about.  Problem is, it’s all a little bit formulaic in the way that the one generation reacts against the other. Against Eleanor’s staidness, Suzanne indulged her hippy side; against that tradition, Laurie embodies every millennial trope down to a T.  It makes ‘sense’ but it rarely convinces, too often characterisation is abandoned for issues."
96,96,Ought To Be Clowns,05/04/2013,Ian,Third Finger Left Hand, Trafalgar Studios 2,‘What for?'”   
97,97,Ought To Be Clowns,12/07/2014,mag9l,Macbeth, RIFT at Balfron Tower,"Immersive schimmersive. In the creation of ever-more inventive ways of approaching familiar stories, theatre companies are consistently pushing the boundaries of what makes a theatrical experience and the set-up for RIFT’s 12-hour Macbeth complete with sleepover is certainly eye-catching. The reality though is quite something else – if sharing a dorm with strangers doesn’t appeal, you can pretty much leave at 1am without missing too much, and the practicalities of dividing the audience into three small groups each with their own Macbeth and Lady M stultifies the pace rather than invigorating the show. "
98,98,Ought To Be Clowns,23/12/2013,Ian,Aladdin, New Wimbledon,"Coming out of Puss in Boots, I said this will be the last panto I see this year. Oh no it wasn’t… The New Wimbledon has built up a reputation to rival the Lyric Hammersmith and the Hackney Empire in London pantomimes, producing slickly professional productions starring high-profile names such as David Hasselhoff, Dame Edna and last year, Priscilla Presley. This year though, the celebrity wattage is homegrown in the form of Jo Brand, who takes the role of the Genie of the Ring in Aladdin.  And with someone who actually understands what pantos are all about (Presley’s air of bemusement at the whole shebang was hilarious), the dynamic of the show feels like a properly old-school affair. Brand’s hugely dry wit makes her perhaps too laconic a presence for the kids but she certainly makes the adults laugh, the presence of two Britain’s Got Talent acts lends a variety feel to the whole affair and in Matthew Kelly’s Widow Twankey, there’s a game dame indeed. It makes for a fascinating combination, one that isn’t always 100% successful to be honest given the completely different gears in which the performers are operating. As funny as Brand is, she doesn’t really fit into the ensemble; Kelly’s grandstanding is funny but it is left to Alan Committie’s Wishee Washee to do the interaction with the kids and he might just be overplaying it a little with the enthusiasm. But there’s much to enjoy here too."
99,99,Ought To Be Clowns,12/07/2016,mag9l,Austentatious, Udderbelly,"We were treated to By Gove, You Cheated Me and best of all, some next level corpsing which made an already funny show hilarious"
100,100,Ought To Be Clowns,08/03/2018,Ian,Jubilee, Lyric Hammersmith,"There’s a sense of Chris Goode’s adaptation of the 1978 Derek Jarman film Jubilee getting out ahead of itself as one of its key characters delivers the above speech pretty much as we begin. But no amount of self-awareness can give this production enough life to sustain its punkish attitude over a bloated running time. Running at a reconfigured Lyric Hammersmith (design by Chloe Lamford) after playing the Royal Exchange late last year, there’s a definite statement of intent from the very beginning as the queer inhabitants of a squat take up residence. Cocks are waved, breasts are bared, queens are transported (Lizzie One Point Zero) and new kweens established, Travis Alabanza’s Amyl Nitrate.  And in this contemporary world (a set of to-the-minute references leave us in no doubt of that), these punks fight against a world that is fighting against them, giving as good as they get. Police brutality squares up against murderous one-night-stands, commercial consumerism battles high art, the past versus the present (versus the future).  "
101,101,Ought To Be Clowns,23/05/2017,Ian,Madame Rubinstein, Park,
102,102,Ought To Be Clowns,11/02/2016,mag9l,Road Show, Union,"Since its inception in 1999, Stephen Sondheim’s Road Show – with book by John Weidman – has undergone considerable rehabilitation, not least three title changes, and so has rarely been seen on this side of the Atlantic. John Doyle transferred his Off-Broadway production to the Menier Chocolate Factory in 2011 for its European premiere but this is the first UK revival since then, director Phil Willmott continuing a mini-residency at the Union after last month’s fine Fear and Misery of the Third Reich.  But where the episodic nature of Brecht’s storytelling worked well, Road Show is less successful in stringing together its vignettes of chasing the American Dream into something more affectingly substantial. The show follows the contrasting but always connected lives of brothers Wilson and Addison Meisner (per the programme) as they seek to parlay guts and gumption into something more, taking unsuspecting benefactors, love interests and easy marks along for the ride. As the story bounds from the goldmines of Alaska to the real estate boom in Florida with plentiful stops inbetween (one song voyages between Hawaii, Asia and Guatemala alone), it rarely digs in with any real depth. Wilson is the ambitious chancer, twinkle-eyed and twinkle-toed as he charms all around him; Addison is a touch more reserved, wanting the chance to explore his dream of becoming an architect (so he’s got somewhere to house the souvenirs from his trip) to come to him, but we never really get to know either. Andre Refig is powerfully charming as garrulous gambler Wilson and Howard Jenkins contrasts well as the more measured Addison and both are possessed of striking singing voices, which are matched well by Richard Baker’s strong musical direction. But both characters lack substantive support – the former’s marriage to a rich widow is passed off speedily whilst the latter’s love affair with rich kid Hollis (at least this character is actually credited with a name) is also crucially underdeveloped, despite good work here from Joshua LeClair. And perhaps as a reflection of this, Willmott’s production feels strongest at its simplest, the key relationships gleaming when they’re given the chance to simply shine, as with Cathryn Sherman’s mother who delivers the show’s strongest musical moment in ‘Isn’t He Something’, a misguided paean to preferring one child over the other. Elsewhere, the ensemble work is occasionally a little too unfocused, Thomas Michael Voss’ choreography not always organically connected to the material."
103,103,Ought To Be Clowns,27/09/2019,Ian,The Open, The Space,"With so much uncertainty surrounding what a post-Brexit Britain might actually look like (and with no sign of any clarity arriving anytime soon), the fertile imaginations of writers will have to do. And in the case of Florence Bell (directing her own play here too), it is a dystopian viewpoint in the shadow of Trump that persists in The Open.  It’s 2050 and the orange cheeto has bought Britain, converting it into The Great British Golf Course. Citizens have become golf caddies, entertaining the rich and famous, and any attempt at resistance is met with the severest punishment. Even so, migrant worker Jana wants to rebel against the authoritarian status quo and draws friends Arthur and Patrick into her orbit, despite the danger.
 Any number of ferociously contemporary and contentious issues are brought to bear here – the status of immigrants vs the ‘British’, notions of national identity and the other, social responsibility, encroaching state control of the media, the perils of a careless selfie… But The Open struggles to make them cohere, to fashion a narrative that engages and enthrals."
104,104,Ought To Be Clowns,19/05/2016,mag9l,Radiant Vermin, Soho Theatre,"Just a quickie for this return of a show that ranked 6th out of the 304 that I saw last year, Philip Ridley’s Radiant Vermin. Metal Rabbit and Supporting Wall’s production remains an absolute corker as it dissects the contemporary property market and all the societal baggage that goes with it in the most inimitable of ways. This revival returns to the Soho Theatre ahead of a trip to New York but finds itself in the upstairs space rather than the main house, which is a bit of a shame as it doesn’t work quite as effectively here, though ’tis only a minor quibble."
105,105,Ought To Be Clowns,11/06/2017,Ian,Operation Black Antler, Home,"The heart sinks a little bit when you get a reviewing assignment which ends with the request not to reveal too much about the production. You Me Bum Bum Train is the perfect example (especially as it was my entry into the world of immersive theatre) and looking back on it, from first to second to third time around, it is clearly a skill I had to learn (and am still learning). Which is all by means of building up to [not] talking about Operation Black Antler, a Blast Theory and Hydrocracker production running out of Manchester’s Home. In select groups, we’re thrown into the world of undercover surveillance on the streets of Manchester where we’re to “question the morality of state-sanctioned spying” – basically like an episode of Spooks if it were written by Paul Abbott and made by Channel 4.  As with so much open-air immersive theatre, much of the thrill comes from the unknown and the unexpected. Walking down streets, into busy pubs, nipping around dark corners, one’s expectations are challenged at every interval – is everyone in on it? can all these pedestrians and/or pubgoers actually be actors? Will you ever really get an answer?! Is this what life as an undercover police officer might be like, so full of suspicion and uncertainty. And that’s before you’ve even cracked into the meat of what is at stake in the operation itself. You’re cleverly pushed into the position of questioning how far is too far when it comes to security, what are the acceptable limits for government agencies to set, what happens when they exceed how far you’re willing to go as an individual. It is powerful stuff, and made even more poignant by the brutal reality of recent atrocities committed in the name of terrorism both here and in London. That situation was bravely alluded to at one point, sensitively handled even in the face of still-raw emotion."
106,106,Ought To Be Clowns,11/12/2018,Ian,Drip, Bush Theatre,"In events I can’t imagine being repeated anytime soon, I was the nominated ‘audience hunk’ for this performance of Drip., and far be it from me to review my own performance but never has a wind-chime been tinkled so beautifully… This kind of light-touch audience interaction is threaded throughout the show and really helps to set the mood of slightly bemused wonder. Tom Wells’ Drip popped up briefly in the library at the Bush Theatre last year, played Edinburgh over the summer and returns to W12 in the studio where its idiosyncratic charms prove well suited. A one-man musical, we follow 15 year old Liam as he makes a presentation to his school assembly in an attempt to win the annual Project Prize and more importantly, win back his friend Caz,  See. he was meant to join her synchronised swimming team but he can’t really swim. And now he’s making a musical presentation and he’s only just starting to write songs. It’s a neat set-up which allows for Matthew Robins’ deceptively simple songs to earworm their way into your head, and for Wells’ wryly observed but always heartfelt lyrics to really strike home in all their honesty.  The drama here may not be on an epic scale but it is no less affecting for its smaller scope. Refreshingly, Liam’s a sorted, out gay kid and as such, his concerns are any teenager’s concerns. Whether smoking looks cool, how to flirt when you’re not sure the fit boy reciprocates your feelings, how to get your best friend to talk to you again, whether anyone can pull off peach swimming shorts… "
